titulo;descricao;cidade;estado;tipo_contratacao;salario;empresa;skills
Desenvolvedor Frontend;Conduzir projetos de ciência de dados, desde a coleta e limpeza até a modelagem e visualização.;Rio Claro;SP;CLT;R$ 9.020,00;Whirpool;AWS, Python, Scrum
Scrum Master;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;São Paulo;CE;Estágio;R$ 3.431,00;Unesp;React, Scrum, CI/CD, NoSQL, Java
Administrador de Banco de Dados;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Florianópolis;SC;CLT;R$ 10.362,00;Cavalcanti;NoSQL, JavaScript, Scrum, HTML, Kanban, Tableau
Cientista de Dados;Prestar suporte técnico a usuários, solucionando problemas de hardware e software.;Recife;PE;Estágio;R$ 14.653,00;Campos S.A.;Tableau, JavaScript, Power BI
Desenvolvedor Fullstack;Projetar e treinar modelos de machine learning para resolver problemas complexos de negócio.;Florianópolis;SC;Temporário;R$ 5.740,00;Ramos - ME;React, HTML, SQL, Python, Power BI, Git
Especialista em Redes;Prestar suporte técnico a usuários, solucionando problemas de hardware e software.;Curitiba;PR;PJ;R$ 7.875,00;da Paz Ramos S/A;Python, Spark, SQL, Power BI
Infra TI;Desenvolver soluções em nuvem utilizando AWS, Azure ou GCP, garantindo escalabilidade e confiabilidade.;Salvador;BA;Temporário;R$ 11.742,00;Azevedo;Docker, Azure, GCP
Desenvolvedor Fullstack;Administrar e otimizar bancos de dados relacionais e não relacionais, garantindo disponibilidade.;Brasília;DF;Estágio;R$ 12.515,00;Ramos Araújo - EI;Linux, CI/CD, AWS, SQL, Docker, Scrum
Desenvolvedor Backend;Coordenar equipes de desenvolvimento, assegurando a entrega de projetos no prazo e orçamento.;Rio de Janeiro;RJ;Estágio;R$ 6.835,00;Peixoto;Spark, HTML, Tableau, Hadoop, Node.js, GCP
Arquiteto de Soluções;Administrar e otimizar bancos de dados relacionais e não relacionais, garantindo disponibilidade.;Florianópolis;SC;PJ;R$ 3.493,00;Nogueira;Git, Azure, Scrum
Especialista em Cloud Computing;Coordenar equipes de desenvolvimento, assegurando a entrega de projetos no prazo e orçamento.;Florianópolis;SC;Temporário;R$ 10.707,00;Porto - ME;Scrum, JavaScript, Hadoop, GCP
Cientista de Dados;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Fortaleza;CE;Temporário;R$ 4.106,00;Duarte Silveira Ltda.;JavaScript, Hadoop, Node.js, Power BI
Cientista de Dados;Desenvolver soluções em nuvem utilizando AWS, Azure ou GCP, garantindo escalabilidade e confiabilidade.;Curitiba;PR;Temporário;R$ 8.034,00;Costela Ltda.;CI/CD, AWS, NoSQL, Kanban, SQL, Linux
Engenheiro DevOps;Responsável por desenvolver e manter aplicações escaláveis, garantindo alta performance e segurança.;Porto Alegre;RS;Estágio;R$ 11.255,00;IBM Brasil;Docker, Kubernetes, Linux
Designer de UX/UI;Projetar e treinar modelos de machine learning para resolver problemas complexos de negócio.;Florianópolis;SC;PJ;R$ 8.110,00;IBM Brasil;React, AWS, CI/CD, Java, SQL
Arquiteto de Soluções;Administrar e otimizar bancos de dados relacionais e não relacionais, garantindo disponibilidade.;Recife;PE;Temporário;R$ 10.633,00;TOTVS;Tableau, Python, SQL, Scrum
Analista de Sistemas;Administrar e otimizar bancos de dados relacionais e não relacionais, garantindo disponibilidade.;Salvador;BA;Estágio;R$ 9.535,00;IBM Brasil;SQL, NoSQL, HTML, Python, GCP, Power BI
Product Owner;Administrar e otimizar bancos de dados relacionais e não relacionais, garantindo disponibilidade.;Salvador;BA;PJ;R$ 8.160,00;IBM Brasil;CSS, Docker, Spark, React, Python, AWS
Engenheiro DevOps;Desenvolver soluções em nuvem utilizando AWS, Azure ou GCP, garantindo escalabilidade e confiabilidade.;Rio Claro;CE;CLT;R$ 7.634,00;Whirpool;Spark, Hadoop, GCP, Git
Designer de UX/UI;Atuar na análise, modelagem e otimização de processos de dados, criando pipelines eficientes.;Fortaleza;CE;Temporário;R$ 4.757,00;TOTVS;Power BI, Spark, JavaScript, NoSQL, Java, Azure
Administrador de Banco de Dados;Atuar na análise, modelagem e otimização de processos de dados, criando pipelines eficientes.;Porto Alegre;RS;Temporário;R$ 3.599,00;IBM Brasil;AWS, React, Spark
Especialista em Redes;Desenvolver soluções em nuvem utilizando AWS, Azure ou GCP, garantindo escalabilidade e confiabilidade.;Fortaleza;CE;Estágio;R$ 8.036,00;TOTVS;Scrum, Hadoop, Azure
Engenheiro de Machine Learning;Coordenar equipes de desenvolvimento, assegurando a entrega de projetos no prazo e orçamento.;Florianópolis;SC;PJ;R$ 11.317,00;TOTVS;Docker, React, Python, Tableau
Desenvolvedor Backend;Administrar e otimizar bancos de dados relacionais e não relacionais, garantindo disponibilidade.;Fortaleza;CE;Estágio;R$ 11.004,00;Amazon Brasil;Kubernetes, Hadoop, HTML
Engenheiro DevOps;Desenvolver interfaces intuitivas e responsivas, focadas na melhor experiência do usuário.;Curitiba;PR;CLT;R$ 4.181,00;IBM Brasil;Spark, Azure, HTML, Tableau, Kanban
Especialista em Cloud Computing;Prestar suporte técnico a usuários, solucionando problemas de hardware e software.;São Paulo;SP;Estágio;R$ 3.145,00;IBM Brasil;Git, Power BI, Kubernetes, SQL
Analista de BI;Desenvolver interfaces intuitivas e responsivas, focadas na melhor experiência do usuário.;Florianópolis;SC;Temporário;R$ 12.205,00;IBM Brasil;CSS, NoSQL, HTML, Linux, Node.js
Analista de Qualidade de Software;Administrar e otimizar bancos de dados relacionais e não relacionais, garantindo disponibilidade.;Recife;PE;Estágio;R$ 6.988,00;IBM Brasil;Node.js, Python, Java
Arquiteto de Soluções;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Florianópolis;SC;PJ;R$ 12.254,00;Itaú Unibanco;Docker, AWS, JavaScript, GCP
Infra TI;Projetar e treinar modelos de machine learning para resolver problemas complexos de negócio.;Belo Horizonte;MG;Temporário;R$ 9.240,00;Microsoft Brasil;CI/CD, Hadoop, Java, Node.js, Azure, Kubernetes
Engenheiro DevOps;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Florianópolis;SC;Estágio;R$ 14.940,00;Globo.com;JavaScript, NoSQL, CSS
Arquiteto de Soluções;Atuar na análise, modelagem e otimização de processos de dados, criando pipelines eficientes.;Recife;PE;Temporário;R$ 12.733,00;Google Brasil;Kubernetes, Java, Azure, Spark
Arquiteto de Soluções;Desenvolver interfaces intuitivas e responsivas, focadas na melhor experiência do usuário.;Porto Alegre;RS;CLT;R$ 9.882,00;Petrobras;Hadoop, Power BI, React
Desenvolvedor Fullstack;Administrar e otimizar bancos de dados relacionais e não relacionais, garantindo disponibilidade.;Rio de Janeiro;RJ;Temporário;R$ 8.892,00;Ferreira;JavaScript, AWS, Node.js, Kubernetes
Administrador de Banco de Dados;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;São Paulo;SP;Temporário;R$ 7.605,00;IBM Brasil;Linux, Node.js, Kanban, SQL, Java
Desenvolvedor Backend;Responsável por desenvolver e manter aplicações escaláveis, garantindo alta performance e segurança.;Belo Horizonte;MG;PJ;R$ 3.396,00;TOTVS;Spark, Docker, SQL, CI/CD, Kubernetes, Scrum
Especialista em Redes;Responsável por desenvolver e manter aplicações escaláveis, garantindo alta performance e segurança.;Recife;PE;Estágio;R$ 7.866,00;Petrobras;React, Tableau, Azure, Scrum
Especialista em Redes;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;São Paulo;SP;Temporário;R$ 4.913,00;IBM Brasil;HTML, Node.js, Scrum
Analista de Suporte Técnico;Administrar e otimizar bancos de dados relacionais e não relacionais, garantindo disponibilidade.;Porto Alegre;RS;Temporário;R$ 9.016,00;Microsoft Brasil;Docker, AWS, CSS, Power BI, Kubernetes
Analista de BI;Coordenar equipes de desenvolvimento, assegurando a entrega de projetos no prazo e orçamento.;Belo Horizonte;MG;Estágio;R$ 4.122,00;TOTVS;Spark, CI/CD, Java, Node.js, GCP, Azure
Desenvolvedor Backend;Projetar e treinar modelos de machine learning para resolver problemas complexos de negócio.;Rio de Janeiro;RJ;CLT;R$ 11.319,00;Amazon Brasil;Node.js, Kanban, Kubernetes, Tableau, SQL, Power BI
Analista de BI;Conduzir projetos de ciência de dados, desde a coleta e limpeza até a modelagem e visualização.;Salvador;BA;Temporário;R$ 14.391,00;Mercado Livre;Java, AWS, HTML, JavaScript, SQL
Cientista de Dados;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Florianópolis;SC;PJ;R$ 14.156,00;Petrobras;Scrum, Hadoop, React, Azure, Linux, Tableau
Engenheiro de Dados;Projetar e treinar modelos de machine learning para resolver problemas complexos de negócio.;Salvador;BA;CLT;R$ 9.396,00;Globo.com;Scrum, Java, Python, React, Linux, Node.js
Engenheiro de Machine Learning;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Salvador;BA;CLT;R$ 11.192,00;Globo.com;Python, Scrum, HTML
Analista de BI;Desenvolver soluções em nuvem utilizando AWS, Azure ou GCP, garantindo escalabilidade e confiabilidade.;São Paulo;SP;Estágio;R$ 13.471,00;Vale;SQL, React, AWS
Especialista em Redes;Desenvolver soluções em nuvem utilizando AWS, Azure ou GCP, garantindo escalabilidade e confiabilidade.;Rio de Janeiro;RJ;Estágio;R$ 11.234,00;Embraer;Linux, Tableau, Docker, AWS
Analista de Suporte Técnico;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Rio de Janeiro;RJ;PJ;R$ 12.804,00;Gomes;GCP, React, AWS
Engenheiro DevOps;Prestar suporte técnico a usuários, solucionando problemas de hardware e software.;Rio de Janeiro;RJ;PJ;R$ 4.872,00;Campos Costa - EI;NoSQL, Docker, Linux, Python, Java, Hadoop
Analista de Segurança da Informação;Implementar e monitorar práticas de segurança da informação, mitigando riscos cibernéticos.;Florianópolis;SC;Temporário;R$ 10.136,00;Lopes S/A;Spark, Linux, Node.js, Git
